Zip Code,Grocery Store Count,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,White,Black,Asian,White %,Black %,Asian %,Obese %,Overweight %,Overweight or Obese %
63118,4.0,28810.0,29880.0,19201.0,9996.0,34.696286011801455,6.626171468240194,12177.0,15464.0,1031.0,42.26657410621312,53.67580701145435,3.578618535230823,27.80%,33.90%,61.70%
63108,4.0,21345.0,39162.0,37387.0,5799.0,27.167955024595923,4.928554696650269,11550.0,7684.0,2156.0,54.111033028812365,35.999063012415085,10.100726165378308,16.90%,31.20%,48.10%
63116,3.0,44175.0,41273.0,24673.0,9304.0,21.06168647425014,4.5319750990379175,30977.0,9475.0,3756.0,70.12337294850029,21.44878324844369,8.502546689303905,25.20%,33.90%,59.00%
63139,2.0,22072.0,49887.0,34433.0,2744.0,12.432040594418268,2.328742297934034,19222.0,2087.0,932.0,87.08771293947082,9.455418629938384,4.22254440014498,22.40%,33.60%,56.00%
63104,2.0,20320.0,47816.0,32508.0,5150.0,25.344488188976378,4.409448818897638,10432.0,9616.0,354.0,51.338582677165356,47.32283464566929,1.7421259842519685,22.20%,35.20%,57.40%
63119,2.0,33894.0,72214.0,40836.0,1869.0,5.514250309789343,2.0092051690564703,30063.0,3099.0,1022.0,88.69711453354576,9.143211187820853,3.0152829409334987,31.30%,29.20%,60.40%
63130,1.0,29488.0,63382.0,42794.0,4433.0,15.033233857840477,4.0864080303852415,16619.0,11621.0,1561.0,56.35851871947911,39.40925122083559,5.293678784590342,12.30%,29.10%,41.40%
63113,1.0,11270.0,24283.0,16087.0,4156.0,36.87666370896184,10.221827861579415,373.0,10870.0,82.0,3.3096716947648623,96.45075421472937,0.7275953859804791,38.50%,34.10%,72.60%
63117,1.0,9097.0,70680.0,51963.0,666.0,7.321094866439486,2.781136638452237,7514.0,1142.0,687.0,82.59865889853798,12.553589095306146,7.551940200065956,17.70%,33.70%,51.30%
63111,1.0,21380.0,26435.0,16682.0,7304.0,34.162768942937326,5.093545369504209,11087.0,10002.0,422.0,51.85687558465856,46.78203928905519,1.9738072965388214,33.30%,34.00%,67.40%
63110,1.0,17423.0,45363.0,30782.0,3145.0,18.050852321643806,4.023417321930781,10349.0,6667.0,655.0,59.3984962406015,38.2655111060093,3.7593984962406015,22.40%,32.40%,54.80%
63109,1.0,27072.0,54475.0,37509.0,1975.0,7.295360520094563,2.3234338061465722,24307.0,2348.0,371.0,89.78649527186761,8.673167848699764,1.370419621749409,21.70%,34.90%,56.60%
63105,1.0,17599.0,89750.0,58068.0,1285.0,7.3015512245013925,2.2103528609580088,14063.0,1459.0,2403.0,79.907949315302,8.290243763850219,13.65418489686914,6.70%,24.90%,31.70%
63101,1.0,3303.0,54442.0,44409.0,781.0,23.645171056615197,5.237662730850742,1306.0,1853.0,164.0,39.53981229185589,56.10051468362095,4.965183166818044,20.30%,35.20%,55.60%
63102,,2314.0,44089.0,26807.0,116.0,5.012964563526361,2.679343128781331,1062.0,1081.0,136.0,45.894554883318925,46.715643906655146,5.877268798617113,21.30%,33.10%,54.40%
63103,,7265.0,35968.0,36833.0,1457.0,20.055058499655885,3.5788024776324847,3467.0,3324.0,438.0,47.72195457673779,45.753613214039916,6.0289057123193395,20.90%,34.80%,55.70%
63106,,11989.0,14087.0,10183.0,6577.0,54.8586204020352,8.007340061723246,554.0,11482.0,11.0,4.62090249395279,95.77112352990241,0.09175077154057887,38.90%,32.80%,71.80%
63107,,10437.0,19685.0,12597.0,4557.0,43.66197183098591,8.374053846890869,1313.0,9166.0,24.0,12.580243364951615,87.82217112196992,0.22995113538373096,38.30%,34.40%,72.70%
63112,,19982.0,34251.0,25122.0,5464.0,27.34461014913422,7.251526373736363,5318.0,14244.0,777.0,26.613952557301573,71.28415574016616,3.888499649684716,27.80%,33.60%,61.40%
63115,,18446.0,23789.0,14898.0,6045.0,32.77133253821967,10.262387509487152,340.0,18216.0,18.0,1.843218041851892,98.75311720698254,0.0975821316274531,38.90%,35.10%,74.00%
63120,,9158.0,23117.0,13014.0,3145.0,34.34155929242193,12.186066826818083,207.0,8924.0,38.0,2.2603188469098057,97.44485695566718,0.4149377593360996,39.50%,34.20%,73.60%
63123,,50739.0,54212.0,29782.0,4315.0,8.50430635211573,3.510120420189598,47085.0,1627.0,2143.0,92.79843907053746,3.206606358028341,4.223575553321902,28.60%,35.20%,63.80%
63125,,33089.0,47520.0,24556.0,3770.0,11.393514460999123,3.1974372147843693,31043.0,1799.0,566.0,93.81667623681587,5.436852126084197,1.71053824533833,32.50%,36.50%,69.00%
63133,,7507.0,22632.0,12815.0,2900.0,38.630611429332625,8.778473424803517,617.0,7027.0,0.0,8.218995604102837,93.60596776342081,0.0,0.00%,50.00%,50.00%
63136,,44982.0,31118.0,16264.0,11712.0,26.037081499266375,8.365568449602064,3953.0,41270.0,80.0,8.787959628295763,91.7478102352052,0.17784891734471567,40.50%,35.40%,76.00%
63137,,20460.0,35857.0,17405.0,5324.0,26.021505376344088,7.9423264907135875,4033.0,16534.0,117.0,19.711632453567937,80.81133919843597,0.5718475073313783,37.40%,32.90%,70.30%
63143,,9399.0,42153.0,29994.0,1229.0,13.07585913395042,3.7876369826577294,7736.0,1560.0,191.0,82.30662836471966,16.597510373443985,2.032131077774231,22.90%,35.80%,58.70%
63147,,10164.0,29060.0,16162.0,2744.0,26.99724517906336,7.2805981896890986,585.0,9590.0,20.0,5.755608028335301,94.35261707988981,0.19677292404565133,39.60%,35.70%,75.30%
