Name,Address,Lat,Lng,Zip Code
Fields Foods,"1500 Lafayette Ave, St. Louis",38.6122561,-90.209282,63104
Schnucks Arsenal,"5055 Arsenal, St. Louis",38.6068029,-90.273927,63139
Schnucks Lindell,"4171 Lindell Blvd, St. Louis",38.641805,-90.2472562,63108
Straub's,"8282 Forsyth Blvd, Clayton",38.652284,-90.344205,63105
Schnucks Richmond Ctr.,"SCHNUCKS RICHMOND CTR., 6600 Clayton Rd, St. Louis",38.6334297,-90.31466809999999,63117
Dierbergs Markets - Brentwood Pointe,"8450 Eager Rd, St. Louis",38.627033,-90.339214,63144
Schnucks South City,"3430 S Grand Blvd, St. Louis",38.5950102,-90.24251540000002,63118
Schnucks Culinaria,"315 N 9th St, St. Louis",38.6291258,-90.1935814,63101
Save-A-Lot,"1631 S Jefferson Ave, St. Louis",38.6160456,-90.22185209999999,63104
Whole Foods Market,"4577 W Pine Blvd, St. Louis",38.6419244,-90.26150919999999,63108
Dierbergs Markets - West Oak,"11481 Olive Blvd, Creve Coeur",38.6729318,-90.43532719999999,63141
Schnucks Lindenwood,"1900 1st Capitol Dr, St Charles",38.782211,-90.50124900000002,63301
Schnucks Chesterfield,"141 Hilltown Village Center, Chesterfield",38.6590573,-90.5532471,63017
Trader Joe's,"13343 Manchester Rd, Des Peres",38.601039,-90.46715560000001,63131
Schnucks Ladue,"8867 Ladue Rd, St. Louis",38.6562371,-90.354064,63124
Save-A-Lot,"3427 S Jefferson Ave, St. Louis",38.5922536,-90.2260881,63118
Dierbergs Markets - Market Place,"1730 Clarkson Rd, Chesterfield",38.641803,-90.56548699999999,63017
ALDI,"702 N Kingshighway Blvd, St. Louis",38.6522255,-90.2619508,63108
County Market,"11 Winfield Plaza, Winfield",38.9915008,-90.7467741,63389
"Local Harvest Grocery, LLC","3108 Morganford Rd, St. Louis",38.6041814,-90.2610457,63116
Schnucks Dorsett,"2030 Dorsett Rd, Maryland Heights",38.7160336,-90.4564082,63043
Schnucks University City,"6920 Olive Blvd, St. Louis",38.6632042,-90.3143442,63130
Schnucks Creve Coeur,"10650 Olive Blvd, St. Louis",38.6724037,-90.4141381,63141
Dierbergs Markets - Heritage Place,"12595 Olive Blvd, Creve Coeur",38.6773136,-90.4636058,63141
Dierbergs Markets - Green Mount Crossing,"4000 Green Mt Crossing Dr, Shiloh",38.57109200000001,-89.9269874,62269
Save-A-Lot,"3645 Page Blvd, St. Louis",38.6468307,-90.22863770000001,63113
Schnucks Mid Rivers,"577 Mid Rivers Mall Dr, St Peters",38.7873151,-90.6282634,63376
Freeburg Country Mart,"4075, 369 Marketplace Dr, Freeburg",38.4341804,-89.9094066,62243
Schnucks Loughborough,"1020 Loughborough Ave, St. Louis",38.5565722,-90.2629132,63111
Schnucks Hampton Vlg.,"60 Hampton Village Plaza, St. Louis",38.5917121,-90.2931641,63109
Fresh Thyme Farmers Market,"2235 Hwy K, O'Fallon",38.7794886,-90.70292649999999,63368
Schnucks Mason,"12756 Olive Blvd, St. Louis",38.6782487,-90.4731145,63141
Save-A-Lot,"6840 Page Ave, St. Louis",38.67459400000001,-90.3104455,63133
ALDI,"3721 S Grand Blvd, St. Louis",38.5895142,-90.2447999,63118
Dierbergs Markets - Deer Creek Crossing,"2979 State Hwy K, O'Fallon",38.7582877,-90.70376309999999,63368
Trader Joe's,"1679 Clarkson Rd, Chesterfield",38.6448973,-90.5665562,63017
Global Foods Market,"421 N Kirkwood Rd, Kirkwood",38.5852238,-90.4069592,63122
ALDI,"1335 Bass Pro Drive, St Charles",38.7723038,-90.4953294,63301
Schwan Food Co,"704 W 8th St, Staunton",39.0038205,-89.7940362,62088
Schwan Food Co,"800 W McAllister St, Lebanon",38.593396,-89.82362499999999,62254
Dierbergs Markets - Fenton Crossing,"450 Old Smizer Mill Rd, Fenton",38.5133451,-90.4502246,63026
Ruler Foods,"2700 S Grand Blvd, St. Louis",38.6072148,-90.240602,63118
Gustine Market,"3150 Gustine Ave, St. Louis",38.6020065,-90.2495896,63116
Dierbergs Markets - Bogey Hills Plaza,"2021 Zumbehl Rd, St Charles",38.7826584,-90.53453209999999,63303
Trader Joe's,"48 Brentwood Promenade Ct, Brentwood",38.6273335,-90.3412312,63144
Whole Foods Market,"1160 Town and Country Crossing Dr, Town and Country",38.6221744,-90.51547870000002,63017
Straub's,"302 Kingshighway Blvd, St. Louis",38.6454536,-90.26436749999999,63108
Fresh Thyme Farmers Market,"6569 N Illinois St, Fairview Heights",38.5942825,-89.9874755,62208
Regal Food,"4200 Shaw Blvd, St. Louis",38.616166,-90.2537849,63110
ALDI,"6601 Gravois Ave, St. Louis",38.5729618,-90.2826292,63116
Whole Foods Market,"1601 S Brentwood Blvd, Brentwood",38.6271091,-90.3478836,63144
Trader Joe's,"11505 Olive Blvd, Creve Coeur",38.6719545,-90.4364196,63141
Schnucks Belleville E.,"110 Carlyle Plaza Dr, Belleville",38.5137872,-89.9537659,62221
United Provisions,"6241 Delmar Blvd, St. Louis",38.6557188,-90.30139009999999,63130
Schnucks Fairview,"625 Lincoln Hwy, Fairview Heights",38.5940932,-89.976199,62208
Midtowne Market,"317 Hawthorn Ave, St Charles",38.7952911,-90.49812879999999,63301
Straub's,"13414 Clayton Rd, St. Louis",38.6269542,-90.4811132,63131
Fresh Thyme Farmers Market,"1018 N Kirkwood Rd, Kirkwood",38.5993473,-90.40597179999999,63122
Vincent's 12th Street Market,"2400 S 12th St, St. Louis",38.6037036,-90.2111245,63104
Straub's,"211 W Lockwood Ave, Webster Groves",38.593724,-90.36198999999999,63119
